ra,dec,b1mag
101.287024,-16.716001,-1.5
95.987955,-52.695661,-0.62
219.899787,-60.835273,0.0
213.915319,19.18245,0.0
279.234737,38.78369,0.03
78.634485,-8.201653,0.1
79.172323,45.99798,0.1
88.793019,7.407098,0.4
114.825544,5.225022,0.4
24.428466,-57.236726,0.5
210.955894,-60.372975,0.6
304.068328,-2.336699,0.75
297.695804,8.868338,0.8
68.980258,16.509323,0.8
247.351759,-26.431965,0.9
201.298295,-11.161255,1.0
116.328927,28.026101,1.1
344.412685,-29.622174,1.2
310.357979,45.280337,1.25
186.649863,-63.099149,1.3
191.930301,-59.688747,1.3
152.093037,11.967261,1.3
104.656439,-28.972079,1.5
187.791497,-57.113211,1.59
263.402191,-37.103709,1.6
81.573006,28.607548,1.6
14.177044,60.716694,1.6
81.282764,6.349705,1.64
138.29989,-69.71721,1.67
84.053389,-1.201921,1.69
332.058281,-46.96096,1.7
176.799579,62.422333,1.71
51.08071,49.861182,1.79
122.383083,-47.336564,1.8
276.043019,-34.384655,1.8
193.507256,55.959821,1.8
165.931906,61.750898,1.8
107.09785,-26.393199,1.83
206.885152,49.313268,1.85
306.411927,-56.735065,1.9
125.628604,-59.509527,1.9
264.329794,-42.997829,1.9
99.428021,16.399369,1.9
113.650016,31.88853,1.9
89.88211,44.947467,1.9
252.16623,-69.027717,1.91
95.674937,-17.955917,1.98
141.896846,-8.658601,1.99
131.175969,-54.708728,2.0
283.816302,-26.296741,2.0
34.836612,-2.97764,2.0
37.952295,89.264023,2.0
31.793364,23.46242,2.01
10.897381,-17.986605,2.04
211.670619,-36.369954,2.06
340.666875,-46.884577,2.07
86.93912,-9.669605,2.07
222.676361,74.155504,2.07
263.733709,12.560083,2.1
177.264935,14.572111,2.1
2.09698,29.09049,2.1
47.042226,40.955684,2.1
17.43303,35.620557,2.1
136.998995,-43.432587,2.2
83.001678,-0.29912,2.2
233.671875,26.714744,2.2
305.557105,40.256677,2.2
10.126828,56.537281,2.2
269.151513,51.488899,2.2
139.272526,-59.275232,2.21
120.896029,-40.003149,2.21
252.540884,-34.29323,2.29
204.971871,-53.466363,2.3
220.48233,-47.388174,2.3
240.08331,-22.621697,2.3
30.974972,42.329664,2.3
2.294425,59.149794,2.3
200.981388,54.925348,2.3
218.876766,-42.157824,2.33
165.460319,56.382426,2.34
326.046489,9.87501,2.38
265.621979,-39.029982,2.39
190.379222,-48.959565,2.4
6.57095,-42.306083,2.4
178.457662,53.694755,2.41
38.682116,27.860296,2.43
345.943574,28.082788,2.44
111.023758,-29.303106,2.45
319.644887,62.585574,2.45
346.190225,15.205267,2.49
140.528379,-55.010688,2.5
208.884929,-47.288376,2.5
311.552847,33.970251,2.5
249.289738,-10.56709,2.54
45.569888,4.089739,2.54
168.527088,20.523718,2.56
183.951543,-17.541931,2.58
182.089631,-50.722431,2.6
84.912336,-34.07413,2.6
83.18255,-17.822268,2.6
257.594505,-15.724964,2.6
241.359262,-19.80543,2.6
236.067017,6.425605,2.6
28.660076,20.808046,2.6
229.251726,-9.382916,2.61
188.596815,-23.396759,2.65
21.453965,60.235283,2.66
224.633027,-43.13396,2.68
74.248412,33.166092,2.69
189.295888,-69.135565,2.7
262.690984,-37.295812,2.7
109.28566,-37.097469,2.7
285.652916,-29.880122,2.7
275.248523,-29.828111,2.7
208.671227,18.397719,2.7
89.930206,37.212557,2.7
296.564914,10.613262,2.72
243.586416,-3.694325,2.73
200.149238,-36.712291,2.75
265.868135,4.567304,2.76
76.962415,-5.086458,2.78
183.786316,-58.748927,2.79
160.739154,-64.394491,2.8
238.785513,-63.430713,2.8
230.670309,-44.689643,2.8
240.030542,-38.396701,2.8
121.886024,-24.304246,2.8
82.061348,-20.759465,2.8
222.719642,-16.041777,2.8
83.858249,-5.909871,2.8
3.309007,15.183604,2.8
247.554983,21.489631,2.8
58.533012,31.883634,2.8
262.608126,52.301364,2.8
161.692449,-49.420258,2.81
6.437796,-77.254245,2.82
190.379307,-48.959913,2.82
276.992667,-25.421699,2.82
248.970636,-28.216016,2.82
261.324951,-55.529884,2.84
195.544157,10.959149,2.85
229.727424,-68.679544,2.87
95.74011,22.513583,2.87
334.625413,-60.259595,2.9
29.692617,-61.569848,2.9
102.484034,-50.614549,2.9
262.960385,-49.876139,2.9
245.297126,-25.592808,2.9
239.712943,-26.114091,2.9
326.760162,-16.127314,2.9
187.466012,-16.515407,2.9
287.440931,-21.023609,2.9
59.507363,-13.508521,2.9
322.889719,-5.571153,2.9
111.787698,8.289324,2.9
56.871215,24.105127,2.9
59.463499,40.01018,2.9
340.750575,30.221247,2.9
194.006841,38.31837,2.9
75.492333,43.823277,2.9
46.199119,53.506434,2.9
233.784996,-41.166779,2.95
331.445984,-0.319849,2.95
146.462806,23.774252,2.97
271.452031,-30.4241,2.98
199.730398,-23.171516,2.99
207.404118,-42.473737,3.0
328.482214,-37.364871,3.0
266.896177,-40.126991,3.0
95.078288,-30.063394,3.0
113.577236,-23.473518,3.0
286.352533,13.863474,3.0
84.411192,21.142579,3.0
32.385952,34.9873,3.0
259.331526,33.100106,3.0
155.582254,41.499509,3.0
218.019449,38.308244,3.0
167.415866,44.498482,3.0
55.731211,47.787621,3.0
296.243613,45.130771,3.0
230.182144,71.834018,3.0
105.756134,-23.833292,3.02
182.53117,-22.619764,3.02
100.983031,25.131126,3.06
288.13875,67.66154,3.07
173.945324,-63.01984,3.1
137.742057,-58.966873,3.1
108.384659,-44.639729,3.1
309.391817,-47.291496,3.1
252.967633,-38.047328,3.1
224.790352,-42.104196,3.1
274.406806,-36.761681,3.1
305.252807,-14.7814,3.1
258.757967,24.839202,3.1
292.680366,27.95968,3.1
134.80185,48.041682,3.1
162.406202,-16.193646,3.11
133.848442,5.945564,3.11
254.655048,-55.990142,3.12
87.739971,-35.768309,3.12
140.263757,34.392568,3.14
142.805496,-57.034378,3.16
258.76181,36.809162,3.16
99.440298,-43.195934,3.17
281.414113,-26.99078,3.17
76.628719,41.234475,3.18
76.365279,-22.371036,3.19
254.417071,9.37503,3.19
72.460047,6.961277,3.19
220.626777,-64.975131,3.2
230.343019,-40.647516,3.2
267.464521,-37.043285,3.2
244.580373,-4.692458,3.2
302.826207,-0.821423,3.2
284.735928,32.689555,3.2
318.234097,30.226944,3.2
143.214269,51.677312,3.2
257.196803,65.714683,3.2
322.165073,70.560751,3.2
354.836674,77.632336,3.2
275.327502,-2.898826,3.23
211.592906,-26.682361,3.25
226.017559,-25.281964,3.25
56.809749,-74.238963,3.26
153.434242,-70.037904,3.29
78.232919,-16.205479,3.29
231.232395,58.966063,3.29
63.606196,-62.47386,3.3
191.570313,-68.108013,3.3
158.006098,-61.685333,3.3
68.499065,-55.045039,3.3
102.04772,-61.941315,3.3
112.307631,-43.301434,3.3
44.565633,-40.304673,3.3
260.502385,-24.999496,3.3
117.323568,-24.859792,3.3
286.735026,-27.67042,3.3
343.662514,-15.820776,3.3
9.832045,30.861012,3.3
282.519983,33.362662,3.3
258.038306,-43.239189,3.32
269.756636,-9.773633,3.32
46.294141,38.840276,3.32
183.856501,57.032618,3.32
168.560018,15.429572,3.33
101.322353,12.895591,3.35
28.598859,63.670101,3.35
203.67329,-0.595826,3.38
193.900871,3.397469,3.39
332.713656,58.201262,3.39
154.270713,-61.332301,3.4
16.521147,-46.718468,3.4
228.071236,-52.099249,3.4
22.091369,-43.318229,3.4
241.092207,-11.373117,3.4
81.119343,-2.397099,3.4
291.374567,3.114778,3.4
266.614644,27.720672,3.4
28.270456,29.578826,3.4
154.274133,42.914383,3.4
127.566051,60.718162,3.4
311.322402,61.838786,3.4
340.365504,10.831363,3.41
311.239559,-66.203213,3.42
286.562246,-4.882556,3.43
154.172571,23.41731,3.43
17.147466,-10.182265,3.46
258.661886,14.390367,3.48
250.724021,38.922254,3.48
342.138739,-51.316868,3.49
276.743401,-45.968459,3.49
26.017016,-15.937477,3.49
131.693866,6.418778,3.49
225.486509,40.390566,3.49
83.406335,-62.489822,3.5
119.194634,-52.982344,3.5
149.215593,-54.567784,3.5
261.348701,-56.377858,3.5
102.460248,-32.508477,3.5
207.376167,-41.687752,3.5
178.227201,-33.908117,3.5
105.429782,-27.934834,3.5
264.396662,-15.398557,3.5
